Function Name,Metric Name,Device,Suspicion Score,β_normal_pid_2300005(%),β_abnormal_pid_2329762(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal_pid_2300005,μ_abnormal_pid_2329762,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,11.423830,3.955687,2.024217,-1.931471,-5.561022,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,11.423830,3.955687,2.024217,-1.931471,-5.561022,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,10.740952,3.955687,2.024217,-1.931471,-5.561022,0.000000,0.000666,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,10.740952,3.955687,2.024217,-1.931471,-5.561022,0.000000,0.000666,90.518500,90.518500,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,10.415926,3.953512,2.085450,-1.868062,-5.398934,0.000000,0.000666,0.391500,0.326333,-0.065167,-0.189603,-0.176857,0.719066,0.131548
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,10.412724,3.953512,2.085450,-1.868062,-5.398934,0.000000,0.000666,0.039500,0.033333,-0.006167,-0.177489,-0.175142,0.736355,0.128036
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,10.085547,3.953512,2.085450,-1.868062,-5.398934,0.000000,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,10.085547,3.953512,2.085450,-1.868062,-5.398934,0.000000,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,7.465809,2.693363,1.379733,-1.313629,-5.329793,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,7.465809,2.693363,1.379733,-1.313629,-5.329793,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_usage,GPU 7,7.387297,0.166038,0.000000,-0.166038,-8.682752,1.000000,1.000000,10.500000,0.000000,-10.500000,-13.890194,-35.808989,1.000000,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,7.001371,2.693363,1.379733,-1.313629,-5.329793,0.000000,0.000666,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,7.001371,2.693363,1.379733,-1.313629,-5.329793,0.000000,0.000666,90.518500,90.518500,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,6.810284,2.692063,1.420083,-1.271979,-5.177228,0.000000,0.000666,0.391500,0.326333,-0.065167,-0.189603,-0.176857,0.719066,0.131548
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,6.808104,2.692063,1.420083,-1.271979,-5.177228,0.000000,0.000666,0.039500,0.033333,-0.006167,-0.177489,-0.175142,0.736355,0.128036
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,6.585326,2.692063,1.420083,-1.271979,-5.177228,0.000000,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,6.585326,2.692063,1.420083,-1.271979,-5.177228,0.000000,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",process_gpu_usage,GPU 7,6.316491,0.320663,0.164457,-0.156205,-20.895719,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, false, false, false, false, true, false, true, false>(flash::Flash_fwd_params)",process_gpu_usage,GPU 7,5.361823,0.241925,0.120957,-0.120968,-24.782980,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,5.002130,0.823525,0.422083,-0.401442,-5.228458,0.000000,0.000666,10.500000,6.068850,-4.431150,-5.861860,-7.231958,0.000011,0.001804
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4>)",process_gpu_usage,GPU 7,4.749360,0.199088,0.098257,-0.100830,-27.561104,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::Half>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, 8>(c10::Half*, c10::Half*, c10::Half const*, float, int, int)",process_gpu_usage,GPU 7,4.106978,0.197137,0.100700,-0.096437,-23.045565,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",process_gpu_usage,GPU 7,3.911852,0.183688,0.093257,-0.090430,-23.716798,0.000000,0.001446,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",process_gpu_usage,GPU 7,3.467324,0.166662,0.084729,-0.081934,-22.777163,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",process_gpu_usage,GPU 7,3.049054,0.147287,0.075429,-0.071859,-22.889727,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,2.476802,0.117737,0.059357,-0.058380,-22.883891,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,2.429678,0.114900,0.057871,-0.057029,-23.063203,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,2.399098,0.116712,0.059771,-0.056941,-22.591611,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void vllm::rotary_embedding_kernel<c10::Half, true>(long const*, c10::Half*, c10::Half*, c10::Half const*, int, long, long, int, int, int)",process_gpu_usage,GPU 7,2.325945,0.119050,0.059486,-0.059564,-19.507941,0.000000,0.001446,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,2.262333,0.113800,0.058671,-0.055129,-21.496022,0.000000,0.001432,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,2.240852,0.823525,0.422083,-0.401442,-5.228458,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,2.240852,0.823525,0.422083,-0.401442,-5.228458,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,2.098921,0.823525,0.422083,-0.401442,-5.228458,0.000000,0.000666,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,2.098921,0.823525,0.422083,-0.401442,-5.228458,0.000000,0.000666,90.518500,90.518500,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,2.061156,0.823050,0.432683,-0.390367,-5.103194,0.000000,0.000666,0.391500,0.326333,-0.065167,-0.189603,-0.176857,0.719066,0.131548
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,2.060487,0.823050,0.432683,-0.390367,-5.103194,0.000000,0.000666,0.039500,0.033333,-0.006167,-0.177489,-0.175142,0.736355,0.128036
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,1.992117,0.823050,0.432683,-0.390367,-5.103194,0.000000,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,1.992117,0.823050,0.432683,-0.390367,-5.103194,0.000000,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
write,disk_usage,Host,1.898047,25.339356,26.278000,0.938644,1.882358,0.092156,0.092719,69.583578,68.555288,-1.028290,-0.101448,-0.139757,0.857263,0.962567
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_usage,GPU 7,1.700970,0.305025,0.159300,-0.145725,-4.444283,0.000000,0.000666,10.500000,6.070500,-4.429500,-5.859678,-7.228185,0.000011,0.001804
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_sm_util,GPU 7,1.645394,0.165887,0.000000,-0.165887,-8.714369,1.000000,1.000000,0.391500,0.000000,-0.391500,-1.139071,-1.204365,1.000000,1.000000
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_sm_occupancy,GPU 7,1.635388,0.165887,0.000000,-0.165887,-8.714369,1.000000,1.000000,0.039500,0.000000,-0.039500,-1.136888,-1.144049,1.000000,1.000000
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_link_receive,GPU 7,1.445605,0.165887,0.000000,-0.165887,-8.714369,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_link_transmit,GPU 7,1.445605,0.165887,0.000000,-0.165887,-8.714369,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_mem_frequency,GPU 7,1.441662,0.166038,0.000000,-0.166038,-8.682752,1.000000,1.000000,159300.000000,0.000000,-159300.000000,0.000000,0.000000,1.000000,1.000000
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_mem_used,GPU 7,1.441662,0.166038,0.000000,-0.166038,-8.682752,1.000000,1.000000,90.518500,0.000000,-90.518500,0.000000,0.000000,1.000000,1.000000
"void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType)0>(unsigned short const*, unsigned short const*, unsigned short*, unsigned short*, long const*, long, long, long, long, long, int, int, int, float const*, float const*)",process_gpu_usage,GPU 7,1.363546,0.073138,0.039314,-0.033823,-20.772537,0.000000,0.001446,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, false, false, false, false, true, false, true, false>(flash::Flash_fwd_params)",gpu_usage,GPU 7,1.312181,0.230088,0.117350,-0.112738,-4.409209,0.000000,0.002388,10.500000,6.069683,-4.430317,-5.860758,-7.230052,0.000011,0.001804
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4>)",gpu_usage,GPU 7,1.103839,0.190163,0.095433,-0.094729,-4.420892,0.000000,0.000666,10.500000,6.068967,-4.431033,-5.861706,-7.231691,0.000011,0.001804
"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::Half>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, 8>(c10::Half*, c10::Half*, c10::Half const*, float, int, int)",gpu_usage,GPU 7,1.033474,0.187163,0.097650,-0.089513,-4.317509,0.000001,0.000666,10.500000,6.070550,-4.429450,-5.859612,-7.228071,0.000011,0.001804
"void flashinfer::sampling::TopKRenormProbKernel<1024u, (cub::CUB_200301_750_800_890_900_NS::BlockReduceAlgorithm)2, 4u, float, int>(float*, float*, int*, unsigned int, unsigned int)",process_gpu_usage,GPU 7,0.996275,0.088925,0.039429,-0.049496,-0.586836,0.150688,0.072593,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",gpu_usage,GPU 7,0.974717,0.174512,0.090550,-0.083962,-4.379323,0.000000,0.000666,10.500000,6.069867,-4.430133,-5.860516,-7.229632,0.000011,0.001804
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",gpu_usage,GPU 7,0.872199,0.158275,0.082350,-0.075925,-4.256214,0.000001,0.000666,10.500000,6.069083,-4.430917,-5.861552,-7.231424,0.000011,0.001804
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",gpu_usage,GPU 7,0.764269,0.139925,0.073267,-0.066658,-4.233888,0.000001,0.000666,10.500000,6.069017,-4.430983,-5.861640,-7.231576,0.000011,0.001804
"void flashinfer::sampling::TopKRenormProbKernel<1024u, (cub::CUB_200301_750_800_890_900_NS::BlockReduceAlgorithm)2, 4u, float, int>(float*, float*, int*, unsigned int, unsigned int)",gpu_usage,GPU 7,0.734602,0.128537,0.035033,-0.093504,-0.838550,0.051008,0.029304,10.500000,6.166667,-4.333333,-5.732461,-7.017802,0.000008,0.001673
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_frequency,GPU 7,0.699165,0.305025,0.159300,-0.145725,-4.444283,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_sm_frequency,GPU 7,0.699165,0.305025,0.159300,-0.145725,-4.444283,0.000000,0.000666,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.470486
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_mem_used,GPU 7,0.647643,0.305025,0.159300,-0.145725,-4.444283,0.000000,0.000666,90.518500,90.518500,0.000000,0.000000,0.000000,,1.000000
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_mem_frequency,GPU 7,0.647643,0.305025,0.159300,-0.145725,-4.444283,0.000000,0.000666,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void vllm::rotary_embedding_kernel<c10::Half, true>(long const*, c10::Half*, c10::Half*, c10::Half const*, int, long, long, int, int, int)",gpu_usage,GPU 7,0.646013,0.113075,0.057683,-0.055392,-4.432174,0.000000,0.000666,10.500000,6.069500,-4.430500,-5.861001,-7.230471,0.000011,0.001804
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_sm_util,GPU 7,0.634089,0.304463,0.163800,-0.140663,-4.331016,0.000001,0.000666,0.391500,0.326333,-0.065167,-0.189603,-0.176857,0.719066,0.131548
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_sm_occupancy,GPU 7,0.633847,0.304463,0.163800,-0.140663,-4.331016,0.000001,0.000666,0.039500,0.033333,-0.006167,-0.177489,-0.175142,0.736355,0.128036
