Function Name,Metric Name,Device,Suspicion Score,β_normal_pid_805580(%),β_abnormal_pid_842126(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal_pid_805580,μ_abnormal_pid_842126,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,6.988475,0.600100,0.175714,-0.424386,-1.915063,0.000784,0.009324,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,6.428355,0.145437,0.039914,-0.105523,-42.389522,0.000000,0.001446,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",process_gpu_usage,GPU 7,5.963502,0.137300,0.037571,-0.099729,-41.267976,0.000000,0.000311,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,5.806494,2.839387,0.861729,-1.977659,-1.983909,0.000798,0.013986,0.422875,0.105571,-0.317304,-0.929217,-0.952136,0.039768,0.012129
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,5.794770,2.839387,0.861729,-1.977659,-1.983909,0.000798,0.013986,0.042875,0.010429,-0.032446,-0.942905,-0.946208,0.037826,0.010760
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,5.407525,0.119400,0.032829,-0.086571,-43.933811,0.000000,0.001432,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,4.025093,2.845775,0.865171,-1.980604,-1.981748,0.000801,0.013986,118687.500000,119142.857143,455.357143,0.050508,0.050508,0.926549,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,4.025093,2.845775,0.865171,-1.980604,-1.981748,0.000801,0.013986,118687.500000,119142.857143,455.357143,0.050508,0.050508,0.926549,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,4.011997,1.957562,0.564900,-1.392662,-1.928675,0.000751,0.009324,0.422875,0.105571,-0.317304,-0.929217,-0.952136,0.039768,0.012129
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,4.003741,1.957562,0.564900,-1.392662,-1.928675,0.000751,0.009324,0.042875,0.010429,-0.032446,-0.942905,-0.946208,0.037826,0.010760
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,3.925057,2.845775,0.865171,-1.980604,-1.981748,0.000801,0.013986,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,3.925057,2.845775,0.865171,-1.980604,-1.981748,0.000801,0.013986,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,3.923495,2.839387,0.861729,-1.977659,-1.983909,0.000798,0.013986,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,3.923495,2.839387,0.861729,-1.977659,-1.983909,0.000798,0.013986,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_usage,GPU 7,3.788733,0.017638,0.074400,0.056762,52.194910,1.000000,1.000000,7.000000,2.000000,-5.000000,-9.354143,-14.552209,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_sm_occupancy,GPU 7,3.011348,0.017625,0.074400,0.056775,52.795601,1.000000,1.000000,0.042875,0.034000,-0.008875,-0.257911,-0.244439,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_sm_util,GPU 7,3.006164,0.017625,0.074400,0.056775,52.795601,1.000000,1.000000,0.422875,0.335000,-0.087875,-0.257340,-0.153125,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_link_receive,GPU 7,2.997470,0.017625,0.074400,0.056775,52.795601,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_link_transmit,GPU 7,2.997470,0.017625,0.074400,0.056775,52.795601,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_sm_frequency,GPU 7,2.982782,0.017638,0.074400,0.056762,52.194910,1.000000,1.000000,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_frequency,GPU 7,2.982782,0.017638,0.074400,0.056762,52.194910,1.000000,1.000000,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_mem_frequency,GPU 7,2.962714,0.017638,0.074400,0.056762,52.194910,1.000000,1.000000,159300.000000,159300.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_mem_used,GPU 7,2.962714,0.017638,0.074400,0.056762,52.194910,1.000000,1.000000,85.704900,85.704900,0.000000,0.000000,0.000000,1.000000,1.000000
"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)",process_gpu_usage,GPU 7,2.831739,0.069888,0.019400,-0.050488,-37.558573,0.000000,0.001446,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,2.731811,1.958750,0.571886,-1.386864,-1.919268,0.000770,0.009324,118687.500000,119142.857143,455.357143,0.050508,0.050508,0.926549,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,2.731811,1.958750,0.571886,-1.386864,-1.919268,0.000770,0.009324,118687.500000,119142.857143,455.357143,0.050508,0.050508,0.926549,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,2.685993,1.957562,0.564900,-1.392662,-1.928675,0.000751,0.009324,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,2.685993,1.957562,0.564900,-1.392662,-1.928675,0.000751,0.009324,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,2.661764,1.958750,0.571886,-1.386864,-1.919268,0.000770,0.009324,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,2.661764,1.958750,0.571886,-1.386864,-1.919268,0.000770,0.009324,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",process_gpu_usage,GPU 7,2.491505,0.018013,0.000000,-0.018013,-99.642006,1.000000,1.000000,7.250000,0.000000,-7.250000,-15.661790,-38.678891,1.000000,1.000000
"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<false, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",process_gpu_usage,GPU 7,2.252784,0.053700,0.014857,-0.038843,-39.468020,0.000000,0.001432,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",gpu_usage,GPU 7,2.241278,0.190463,0.054386,-0.136077,-1.918480,0.000780,0.009324,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
runq,process_cpu_usage,Host,2.073806,7.364850,8.062244,0.697394,1.959735,0.606138,0.541423,1.642550,1.623422,-0.019128,-1.010334,-1.013914,0.054257,0.074455
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_usage,GPU 7,1.799738,0.153625,0.044257,-0.109368,-1.903616,0.000817,0.014997,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_usage,GPU 7,1.512595,0.128825,0.037029,-0.091796,-1.925503,0.000758,0.012761,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",gpu_usage,GPU 7,1.431031,0.121450,0.034557,-0.086893,-1.916702,0.000778,0.012761,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",gpu_usage,GPU 7,1.275448,0.016450,0.059700,0.043250,14.937918,1.000000,1.000000,7.000000,2.000000,-5.000000,-9.354143,-14.552209,1.000000,1.000000
write,disk_usage,Host,1.234842,26.567450,25.659394,-0.908056,-1.354462,0.497461,0.530782,67.695937,67.694989,-0.000949,-0.000087,-0.005413,0.999838,0.933575
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_usage,GPU 7,1.230492,0.105625,0.030814,-0.074811,-1.895869,0.000880,0.017571,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,1.223666,0.599712,0.174014,-0.425698,-1.922355,0.000770,0.009324,0.422875,0.105571,-0.317304,-0.929217,-0.952136,0.039768,0.012129
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,1.221142,0.599712,0.174014,-0.425698,-1.922355,0.000770,0.009324,0.042875,0.010429,-0.032446,-0.942905,-0.946208,0.037826,0.010760
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,0.834160,0.600100,0.175714,-0.424386,-1.915063,0.000784,0.009324,118687.500000,119142.857143,455.357143,0.050508,0.050508,0.926549,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,0.834160,0.600100,0.175714,-0.424386,-1.915063,0.000784,0.009324,118687.500000,119142.857143,455.357143,0.050508,0.050508,0.926549,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,0.818343,0.599712,0.174014,-0.425698,-1.922355,0.000770,0.009324,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,0.818343,0.599712,0.174014,-0.425698,-1.922355,0.000770,0.009324,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
read,disk_usage,Host,0.816396,0.000500,0.008000,0.007500,106.066017,1.000000,1.000000,51.625200,76.183300,24.558100,3.037088,2.786783,1.000000,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,0.812725,0.600100,0.175714,-0.424386,-1.915063,0.000784,0.009324,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,0.812725,0.600100,0.175714,-0.424386,-1.915063,0.000784,0.009324,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",process_gpu_usage,GPU 7,0.742114,0.017000,0.000000,-0.017000,-4.974857,1.000000,1.000000,7.250000,0.000000,-7.250000,-15.661790,-38.678891,1.000000,1.000000
"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)",gpu_usage,GPU 7,0.724648,0.061875,0.017843,-0.044032,-1.905030,0.000812,0.009324,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",gpu_usage,GPU 7,0.693653,0.001486,0.006200,0.004714,124.728276,1.000000,1.000000,7.142857,2.000000,-5.142857,-13.606721,-22.410257,1.000000,1.000000
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",gpu_frequency,GPU 7,0.661356,0.016450,0.059700,0.043250,14.937918,1.000000,1.000000,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,1.000000,1.000000
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",gpu_sm_frequency,GPU 7,0.661356,0.016450,0.059700,0.043250,14.937918,1.000000,1.000000,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,1.000000,1.000000
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",gpu_mem_used,GPU 7,0.646065,0.016450,0.059700,0.043250,14.937918,1.000000,1.000000,85.704900,85.704900,0.000000,0.000000,0.000000,1.000000,1.000000
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",gpu_mem_frequency,GPU 7,0.646065,0.016450,0.059700,0.043250,14.937918,1.000000,1.000000,159300.000000,159300.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",gpu_frequency,GPU 7,0.588005,0.001486,0.006200,0.004714,124.728276,1.000000,1.000000,115500.000000,115500.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",gpu_mem_frequency,GPU 7,0.588005,0.001486,0.006200,0.004714,124.728276,1.000000,1.000000,159300.000000,159300.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",gpu_sm_frequency,GPU 7,0.588005,0.001486,0.006200,0.004714,124.728276,1.000000,1.000000,115500.000000,115500.000000,0.000000,0.000000,0.000000,1.000000,1.000000
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",gpu_mem_used,GPU 7,0.588005,0.001486,0.006200,0.004714,124.728276,1.000000,1.000000,85.704900,85.704900,0.000000,0.000000,0.000000,1.000000,1.000000
