Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
write,disk_usage,Host,11.775683,22.471300,26.606057,4.134757,2.616568,0.000828,0.001166,61.441583,63.563714,2.122131,0.222717,0.231407,0.680634,0.835664
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,7.265147,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,1336418860.000000,24867204807983.945312,24865868389123.945312,13941.972727,7.226991,0.000000,0.005597
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,7.265143,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,1336419760.000000,24866772848033.730469,24865436428273.730469,13941.728882,7.226975,0.000000,0.005597
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_link_receive,GPU 7,6.384184,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,1336418860.000000,24867205564952.601562,24865869146092.601562,13941.973152,7.226991,0.000000,0.005681
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_link_transmit,GPU 7,6.384179,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,1336419760.000000,24866773979653.214844,24865437559893.214844,13941.729516,7.226975,0.000000,0.005681
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),gpu_sm_util,GPU 7,6.147693,0.365300,0.001933,-0.363367,-16.424873,0.000003,0.006606,0.116600,0.226000,0.109400,0.560067,0.493832,0.504404,0.398138
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),gpu_sm_occupancy,GPU 7,6.127679,0.365300,0.001933,-0.363367,-16.424873,0.000003,0.006606,0.013400,0.021333,0.007933,0.448921,0.438752,0.600238,0.397001
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),gpu_usage,GPU 7,5.968251,0.365300,0.001933,-0.363367,-16.424873,0.000003,0.006606,100.000000,100.000000,0.000000,0.000000,0.000000,,1.000000
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),process_gpu_usage,GPU 7,5.968251,0.365300,0.001933,-0.363367,-16.424873,0.000003,0.006606,100.000000,100.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,5.334618,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,0.116600,0.284286,0.167686,0.858457,0.776782,0.296783,0.740014
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,5.326489,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,0.013400,0.026857,0.013457,0.761495,0.749620,0.364176,0.738165
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,5.235979,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,97.899800,100.000000,2.100200,0.447214,0.447214,0.373901,0.310494
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,5.235979,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,97.978200,100.000000,2.021800,0.447214,0.447214,0.373901,0.310494
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,5.102130,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,5.102130,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,5.102130,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,5.102130,0.730160,1.029457,0.299297,17.047037,0.097310,0.047980,86.351900,96.866500,10.514600,0.000000,0.000000,0.000000,0.001274
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_sm_util,GPU 7,4.653648,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,0.116600,0.284286,0.167686,0.858457,0.776782,0.296783,0.740014
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_sm_occupancy,GPU 7,4.646361,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,0.013400,0.026857,0.013457,0.761495,0.749620,0.364176,0.738165
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,process_gpu_usage,GPU 7,4.565227,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,97.922060,100.000000,2.077940,0.447214,0.447214,0.373901,0.310494
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_usage,GPU 7,4.565227,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,97.997680,100.000000,2.002320,0.447214,0.447214,0.373901,0.310494
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_frequency,GPU 7,4.445244,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_mem_frequency,GPU 7,4.445244,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_mem_used,GPU 7,4.445244,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,86.351900,96.866500,10.514600,0.000000,0.000000,0.000000,0.001274
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_sm_frequency,GPU 7,4.445244,0.787480,1.055771,0.268291,16.568714,0.137102,0.047980,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
runq,host_cpu_usage,Host,3.288829,5.122317,5.816543,0.694226,4.178671,0.000012,0.001166,8.371617,8.941900,0.570283,0.568959,0.558731,0.266355,0.628205
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_link_receive,GPU 7,1.327570,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,1336418860.000000,24867204868915.480469,24865868450055.480469,13941.972761,7.226991,0.000000,0.005597
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_link_transmit,GPU 7,1.327569,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,1336419760.000000,24866772939122.460938,24865436519362.460938,13941.728933,7.226975,0.000000,0.005681
Memset (Device),gpu_pcie_transmit,GPU 7,1.308139,0.010220,0.026071,0.015851,82.407653,0.006092,0.050507,1060431860.000000,2555469022.720329,1495037162.720329,2.041406,0.117329,0.312704,1.000000
Memcpy DtoD (Device -> Device),gpu_link_receive,GPU 7,1.124795,0.042000,0.074557,0.032557,27.321347,0.025550,0.050913,1336418860.000000,24867202375661.894531,24865865956801.894531,13941.971363,7.226991,0.000000,0.005681
Memcpy DtoD (Device -> Device),gpu_link_transmit,GPU 7,1.124795,0.042000,0.074557,0.032557,27.321347,0.025550,0.050913,1336419760.000000,24866769211868.597656,24865432792108.597656,13941.726843,7.226975,0.000000,0.005681
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_sm_util,GPU 7,1.097113,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,0.116600,0.284286,0.167686,0.858457,0.776782,0.296783,0.740014
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_sm_occupancy,GPU 7,1.096143,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,0.013400,0.026857,0.013457,0.761495,0.749620,0.364176,0.738165
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_usage,GPU 7,1.085338,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,98.007440,100.000000,1.992560,0.447214,0.447214,0.373901,0.310494
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,1.085338,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,97.930820,100.000000,2.069180,0.447214,0.447214,0.373901,0.310494
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_sm_frequency,GPU 7,1.069360,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_frequency,GPU 7,1.069360,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_mem_used,GPU 7,1.069360,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,86.351900,96.866500,10.514600,0.000000,0.000000,0.000000,0.001274
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_mem_frequency,GPU 7,1.069360,0.056900,0.092629,0.035729,29.930104,0.039869,0.049292,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_link_receive,GPU 7,0.991858,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,1336418860.000000,24867203146949.527344,24865866728089.527344,13941.971796,7.226991,0.000000,0.005681
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_link_transmit,GPU 7,0.991857,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,1336419760.000000,24866770364894.042969,24865433945134.042969,13941.727490,7.226975,0.000000,0.005681
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_link_receive,GPU 7,0.898733,0.050880,0.082714,0.031834,21.004610,0.040980,0.047980,1336418860.000000,24867196730570.378906,24865860311710.378906,13941.968198,7.226990,0.000000,0.005597
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_link_transmit,GPU 7,0.898732,0.050880,0.082714,0.031834,21.004610,0.040980,0.047980,1336419760.000000,24866760772819.644531,24865424353059.644531,13941.722112,7.226975,0.000000,0.005597
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,0.808625,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,1336418860.000000,25622277524103.316406,25620941105243.316406,14365.332292,7.249373,0.000000,0.007969
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,0.808624,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,1336419760.000000,25621648128914.832031,25620311709154.832031,14364.977697,7.249353,0.000000,0.007969
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_sm_util,GPU 7,0.738844,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,0.116600,0.284286,0.167686,0.858457,0.776782,0.296783,0.740014
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_sm_occupancy,GPU 7,0.737779,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,0.013400,0.026857,0.013457,0.761495,0.749620,0.364176,0.738165
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_usage,GPU 7,0.725917,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,97.949560,100.000000,2.050440,0.447214,0.447214,0.373901,0.310494
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",process_gpu_usage,GPU 7,0.725917,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,97.873060,100.000000,2.126940,0.447214,0.447214,0.373901,0.310494
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,0.716704,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,0.116600,0.226000,0.109400,0.560067,0.493832,0.504404,0.398138
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,0.715955,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,0.013400,0.021333,0.007933,0.448921,0.438752,0.600238,0.397001
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,0.709985,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,0.709985,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,0.709985,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,86.351900,96.866500,10.514600,0.000000,0.000000,0.000000,0.002237
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,0.709985,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,0.709985,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,100.000000,100.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,0.709985,0.033060,0.046667,0.013607,52.179185,0.000004,0.007969,100.000000,100.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_mem_frequency,GPU 7,0.708374,0.063860,0.103086,0.039226,18.058925,0.042922,0.047980,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
